STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,DONOR,Donor2,RECIPIENT,Recipient3,SECTOR,Sector4,MEASURE,Measure5,CHANNEL,Channel6,MODALITY,Modality7,FLOW_TYPE,Flow type,PRICE_BASE,Price base,MD_DIM,Drilldown dimension,MD_ID,Microdata ID,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals8,DONOR_AGENCY,Donor agency,OECD_ID,OECD ID,DONOR_PROJECT_ID,Donor project ID,REGION,Region9,INCOME_GROUP,Income group,CHANNELDELIVERY_CODE,Channel of delivery code,CHANNELDELIVERY_NAME,Channel of delivery name,CATEGORY_CODE,Category code,CATEGORY_NAME,Category name,FINANCETYPE_CODE,FinanceType code,FINANCETYPE_NAME,FinanceType name,BIMULTI_CODE,BiMulti code,SHORT_DESCRIPTION,Short description,PROJECT_TITLE,Project title,LONG_DESCRIPTION,Long description,SDG_FOCUS,SDG focus,GENDER_EQUALITY,Gender equality,ENVIRONMENT,Environment10,GOVERNANCE,Governance11,RMNCH,RMNCH12,DRR,DRR13,NUTRITION,Nutrition14,DISABILITY,Disability15,BIODIVERSITY,Biodiversity16,CLIMATE_MITIGATION,Climate mitigation,CLIMATE_ADAPTATION,Climate adaptation,DESERTIFICATION,Desertification17,AMOUNT_TIED,Amount tied,AMOUNT_UNTIED,Amount untied,AMOUNT_PARTIALLY_UNTIED,Amount partially untied,NATURE_OF_SUBMISSION,Nature of submission,PSIFLAG_CODE,PSI flag,PSIFLAG_NAME,PSI Flag name
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,IND,India,12250,Infectious disease control,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,3.875437,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,SDN,Sudan,112,Basic education,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2005,,3.936985,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,SDN,Sudan,12191,Medical services,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2005,,0.198173,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,IND,India,120,Health,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,135.367397,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,IND,India,12281,Health personnel development,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,0.394416,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,IND,India,113,Secondary education,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,6.701097,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,IND,India,12181,Medical education/training,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,0.117928,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,IND,India,12263,Tuberculosis control,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,25.590725,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,IND,India,12264,COVID-19 control,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,44.920315,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,IND,India,11231,Basic life skills for youth,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,0.560815,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,SSD,South Sudan,12263,Tuberculosis control,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,0.059129,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,SSD,South Sudan,122,Basic health,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,57.446335,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,SSD,South Sudan,12281,Health personnel development,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,1.439824,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,SSD,South Sudan,11330,Vocational training,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,3.666222,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,SSD,South Sudan,120,Health,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,65.069034,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,SSD,South Sudan,12182,Medical research,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,0.183213,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,SSD,South Sudan,112,Basic education,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,40.163674,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,SSD,South Sudan,12240,Basic nutrition,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,19.124647,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,SSD,South Sudan,11130,Teacher training,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,1.744885,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,SSD,South Sudan,12191,Medical services,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,2.712746,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,SSD,South Sudan,12261,Health education,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,2.015401,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,SSD,South Sudan,11232,Primary education equivalent for adults,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,0.02991,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,SSD,South Sudan,11430,Advanced technical and managerial training,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,0.089016,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,SSD,South Sudan,113,Secondary education,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,6.297433,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,SSD,South Sudan,11320,Upper secondary education,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,2.631211,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,SSD,South Sudan,11420,Higher education,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,4.491434,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,SDN,Sudan,12230,Basic health infrastructure,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2005,,4.296239,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,SDN,Sudan,11220,Primary education,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2005,,2.142543,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,IND,India,11260,Lower secondary education,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,0.662874,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,BGD,Bangladesh,12220,Basic health care,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,26.112342,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,BGD,Bangladesh,11420,Higher education,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,79.30649,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,BGD,Bangladesh,11320,Upper secondary education,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,9.445327,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,BGD,Bangladesh,11110,Education policy and administrative management,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,2.722533,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,BGD,Bangladesh,11220,Primary education,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,34.606336,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,OECD.DCD.FSD:DSD_CRS@DF_CRS(1.4),CRS: Creditor Reporting System (flows),I,DAC,DAC countries,BGD,Bangladesh,11250,School feeding,100,Official Development Assistance,_T,All channels,_T,All modalities,D,Disbursements,Q,Constant prices,_T,Aggregate,0,,USD,US dollar,2023,,5.145174,,2023,,A,Normal value,6,Millions,3,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
